Economy;Economy Code;ISO Code;Region;Income Group;Report Year;ENTREPRENEURSHIP SCORE;Does the law prohibit discrimination in access to credit based on gender?;Score;Legal Basis;Can a woman sign a contract in the same way as a man?;Score;Legal Basis;Can a woman register a business in the same way as a man?;Score;Legal Basis;Can a woman open a bank account in the same way as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1971;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1972;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1973;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1974;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1975;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1976;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1977;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1978;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1979;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1980;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
