Economy;Economy Code;ISO Code;Region;Income Group;Report Year;MARRIAGE SCORE;Is the law free of legal provisions that require a married woman to obey her husband?;Score;Legal Basis;Can a woman be head of household in the same way as a man?;Score;Legal Basis;Is there legislation specifically addressing domestic violence?;Score;Legal Basis;Can a woman obtain a judgment of divorce in the same way as a man?;Score;Legal Basis;Does a woman have the same rights to remarry as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1971;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Law on Marriage 1960;No;0;Law on Marriage 1960
Afghanistan;AFG;AFG;South Asia;Low income;1972;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Law on Marriage 1960;No;0;Law on Marriage 1960
Afghanistan;AFG;AFG;South Asia;Low income;1973;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;1971 Law on Marriage, Arts. 32 -35;No;0;1971 Law on Marriage, Arts. 32 -35
Afghanistan;AFG;AFG;South Asia;Low income;1974;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;1971 Law on Marriage, Arts. 32 -35;No;0;1971 Law on Marriage, Arts. 32 -35
Afghanistan;AFG;AFG;South Asia;Low income;1975;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;1971 Law on Marriage, Arts. 32 -35;No;0;1971 Law on Marriage, Arts. 32 -35
Afghanistan;AFG;AFG;South Asia;Low income;1976;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;1971 Law on Marriage, Arts. 32 -35;No;0;1971 Law on Marriage, Arts. 32 -35
Afghanistan;AFG;AFG;South Asia;Low income;1977;20;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;1971 Law on Marriage, Arts. 32 -35;No;0;1971 Law on Marriage, Arts. 32 -35
Afghanistan;AFG;AFG;South Asia;Low income;1978;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1979;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1980;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1981;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1982;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1983;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1984;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1985;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1986;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1987;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1988;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1989;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1990;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1991;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1992;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1993;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1994;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1995;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1996;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1997;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1998;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;1999;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2000;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2001;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2002;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2003;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2004;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2005;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
