Economy;Economy Code;ISO Code;Region;Income Group;Report Year;MOBILITY SCORE;Can a woman choose where to live in the same way as a man?;Score;Legal Basis;Can a woman travel outside her home in the same way as a man?;Score;Legal Basis;Can a woman apply for a passport in the same way as a man?;Score;Legal Basis;Can a woman travel outside the country in the same way as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1971;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1972;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1973;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1974;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1975;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1976;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1977;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1978;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1979;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1980;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1981;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
