Economy;Economy Code;ISO Code;Region;Income Group;Report Year;PENSION SCORE;Is the age at which men and women can retire with full pension benefits the same?;Score;Legal Basis;Is the age at which men and women can retire with partial pension benefits the same?;Score;Legal Basis;Is the mandatory retirement age for men and women the same?;Score;Legal Basis;Are periods of absence due to childcare accounted for in pension benefits?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1971;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1972;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1973;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1974;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1975;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1976;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1977;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1978;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1979;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1980;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1981;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1982;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1983;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1984;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1985;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1986;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1987;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1988;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1989;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1990;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1991;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1992;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1993;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1994;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1995;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1996;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1997;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1998;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1999;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;Labor Law of 11 June 1987, Arts. 31(6) and 160;No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2000;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2001;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2002;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2003;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2004;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2005;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2006;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2007;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2008;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2009;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2010;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2011;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2012;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2013;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
