Economy;Economy Code;ISO Code;Region;Income Group;Report Year;WORKPLACE SCORE;Can a woman get a job in the same way as a man?;Score;Legal Basis;Does the law prohibit discrimination in employment based on gender?;Score;Legal Basis;Is there legislation on sexual harassment in employment?;Score;Legal Basis;Are there criminal penalties or civil remedies for sexual harassment in employment?;Score;Legal Basis - Criminal Penalties;Legal Basis - Civil Remedies
Afghanistan;AFG;AFG;South Asia;Low income;1971;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1972;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1973;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1974;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1975;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1976;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1977;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1978;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1979;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1980;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1981;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1982;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1983;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1984;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1985;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1986;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1987;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1988;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1989;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1990;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1991;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1992;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1993;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1994;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1995;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1996;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1997;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1998;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1999;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2000;25;Yes;1;Commercial Law, Art. 4;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2001;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2002;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2003;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2004;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2005;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2006;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2007;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2008;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2009;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2010;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2011;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2012;25;Yes;1;"Labor Law of Afghanistan, Art. 9; Commercial Law of Afghanistan, Art. 4";No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No applicable provisions could be located
